eBird Location codes:,,,,,,,,
1,"""US-VI-030:St. Thomas Island"",",,,0,US-,AL-,000,:Autauga County
2,"""US-VI-020:St. John Island"",",,,3,US-,AL-,003,:Baldwin County
3,"""US-VI-010:St. Croix Island"",",,,5,US-,AL-,005,:Barbour County
4,"""US-UM-300:Midway Islands"",",,,7,US-,AL-,007,:Bibb County
5,"""US-PR-153:Yauco Municipio"",",,,9,US-,AL-,009,:Blount County
6,"""US-PR-151:Yabucoa Municipio"",",,,11,US-,AL-,011,:Bullock County
7,"""US-PR-149:Villalba Municipio"",",,,13,US-,AL-,013,:Butler County
8,"""US-PR-147:Vieques Municipio"",",,,15,US-,AL-,015,:Calhoun County
9,"""US-PR-145:Vega Baja Municipio"",",,,17,US-,AL-,017,:Chambers County
10,"""US-PR-143:Vega Alta Municipio"",",,,19,US-,AL-,019,:Cherokee County
11,"""US-PR-141:Utuado Municipio"",",,,21,US-,AL-,021,:Chilton County
12,"""US-PR-139:Trujillo Alto Municipio"",",,,23,US-,AL-,023,:Choctaw County
13,"""US-PR-137:Toa Baja Municipio"",",,,25,US-,AL-,025,:Clarke County
14,"""US-PR-135:Toa Alta Municipio"",",,,27,US-,AL-,027,:Clay County
15,"""US-PR-133:Santa Isabel Municipio"",",,,29,US-,AL-,029,:Cleburne County
16,"""US-PR-131:San Sebastian Municipio"",",,,31,US-,AL-,031,:Coffee County
17,"""US-PR-129:San Lorenzo Municipio"",",,,33,US-,AL-,033,:Colbert County
18,"""US-PR-127:San Juan Municipio"",",,,35,US-,AL-,035,:Conecuh County
19,"""US-PR-125:San German Municipio"",",,,37,US-,AL-,037,:Coosa County
20,"""US-PR-123:Salinas Municipio"",",,,39,US-,AL-,039,:Covington County
21,"""US-PR-121:Sabana Grande Municipio"",",,,41,US-,AL-,041,:Crenshaw County
22,"""US-PR-119:Rio Grande Municipio"",",,,43,US-,AL-,043,:Cullman County
23,"""US-PR-117:Rincon Municipio"",",,,45,US-,AL-,045,:Dale County
24,"""US-PR-115:Quebradillas Municipio"",",,,47,US-,AL-,047,:Dallas County
25,"""US-PR-113:Ponce Municipio"",",,,49,US-,AL-,049,:DeKalb County
26,"""US-PR-111:Penuelas Municipio"",",,,51,US-,AL-,051,:Elmore County
27,"""US-PR-109:Patillas Municipio"",",,,53,US-,AL-,053,:Escambia County
28,"""US-PR-107:Orocovis Municipio"",",,,55,US-,AL-,055,:Etowah County
29,"""US-PR-105:Naranjito Municipio"",",,,57,US-,AL-,057,:Fayette County
30,"""US-PR-103:Naguabo Municipio"",",,,59,US-,AL-,059,:Franklin County
31,"""US-PR-101:Morovis Municipio"",",,,61,US-,AL-,061,:Geneva County
32,"""US-PR-099:Moca Municipio"",",,,63,US-,AL-,063,:Greene County
33,"""US-PR-097:Mayaguez Municipio"",",,,65,US-,AL-,065,:Hale County
34,"""US-PR-095:Maunabo Municipio"",",,,67,US-,AL-,067,:Henry County
35,"""US-PR-093:Maricao Municipio"",",,,69,US-,AL-,069,:Houston County
36,"""US-PR-091:Manati Municipio"",",,,71,US-,AL-,071,:Jackson County
37,"""US-PR-089:Luquillo Municipio"",",,,73,US-,AL-,073,:Jefferson County
38,"""US-PR-087:Loiza Municipio"",",,,75,US-,AL-,075,:Lamar County
39,"""US-PR-085:Las Piedras Municipio"",",,,77,US-,AL-,077,:Lauderdale County
40,"""US-PR-083:Las Marias Municipio"",",,,79,US-,AL-,079,:Lawrence County
41,"""US-PR-081:Lares Municipio"",",,,81,US-,AL-,081,:Lee County
42,"""US-PR-079:Lajas Municipio"",",,,83,US-,AL-,083,:Limestone County
43,"""US-PR-077:Juncos Municipio"",",,,85,US-,AL-,085,:Lowndes County
44,"""US-PR-075:Juana Diaz Municipio"",",,,87,US-,AL-,087,:Macon County
45,"""US-PR-073:Jayuya Municipio"",",,,89,US-,AL-,089,:Madison County
46,"""US-PR-071:Isabela Municipio"",",,,91,US-,AL-,091,:Marengo County
